Cuenta_Twitter,Usuario,Texto,Creado en,Retweets,Likes
danielgoaz,Dan,Un facto. https://t.co/EAXLT8ZwNQ,Mon Oct 07 23:44:44 +0000 2024,636,2515
francomoreyraok,FRANKY🦇🩸,yo cuando pierdo algo en el quilombo de mi cuarto https://t.co/OdFtdTYSIA,Mon Oct 07 23:10:53 +0000 2024,2630,14996
chiquimafia__,𝕮𝖍𝖎𝖖𝖚𝖎 𝕸𝖆𝖋𝖎𝖆,vos ponete linda que hoy invito yo https://t.co/tpQP8UVzVR,Mon Oct 07 23:17:00 +0000 2024,5228,51661
kari_ok6,que pasa putx,para nada la verdad https://t.co/IzGbYlHtpd,Mon Oct 07 23:52:56 +0000 2024,6309,26843
Eletegu,Gu,LA PUTA QUE LO PARIÓ NO LO HABÍA PENSADO https://t.co/coQqbDm5aN,Mon Oct 07 23:38:11 +0000 2024,163,4961
_JugadorNro12,ℓαυтαяσ,"Eres old, pero así de old? https://t.co/cp2ySca19C",Mon Oct 07 23:13:10 +0000 2024,3457,32497
VictorBalgitt,Balgitt,"CULPABLE!! 🔥
Ya separenlos 🗣️🗣️

#chainsawman #chainsawmanfanart #csm #asaden #denji #pochita #asa #yoru https://t.co/lJ7Oc1fqpP",Mon Oct 07 23:40:24 +0000 2024,520,6088
Samy_rom55,Sandrita Romero,"Sandrita te envió un mensaje nuevo...

🎤 Mensaje de voz 0:54
►||||||||||||||||||||||||||||||||| 0:54🤭 https://t.co/6cefPX48OV",Mon Oct 07 23:23:22 +0000 2024,103,3496
memefeos,memes feos yo qué sé,Yo corriendo en forma de agradecimiento porque un coche me dejó cruzar la calle https://t.co/e0K7FPigMY,Mon Oct 07 23:52:50 +0000 2024,2809,25878
LaTri,La Tri 🇪🇨,𝐋𝐚 𝐑𝐨𝐥𝐚 🔥 https://t.co/SNaF1Zn3MK,Mon Oct 07 23:54:42 +0000 2024,18,643
Cooperativa,Cooperativa,"#CooperativaContigo Republicanos urge salida de Tohá: ""Ni siquiera es necesario llegar a votar la acusación"" https://t.co/ieeRrdCIo8 https://t.co/w5x3IyoaYg",Mon Oct 07 23:25:00 +0000 2024,10,29
prodiputados,PRO Diputados,Desde el Bloque PRO nos reunimos con el oficialismo y le solicitamos que mejore su oferta y agregue la garantía salarial que beneficia a los docentes universitarios que menos ganan. Esperamos una pronta respuesta del Gobierno. https://t.co/RztLoqkGJ1,Mon Oct 07 23:38:57 +0000 2024,115,346
chulaconcntida,Gaby 🌸,"Holi... Por si tenian duda, así ando hoy 😂😂😏 https://t.co/jyOD9XqhHm",Mon Oct 07 23:44:27 +0000 2024,49,2665
SoySimpsonito,Simpsonito,"- Tienes que gobernar Chilpancingo, Pipo.
- ¡Pero tengo mucho miedo!
- Tienes que hacerlo por mi, Pipo: Por México.
- Está bien… Por ti, México.🇲🇽 https://t.co/D0Cpd2SgII",Mon Oct 07 23:42:04 +0000 2024,296,3508
mariannno_,mariano🤙🏻,lo único que quieren las chicas lindas https://t.co/OrvOSlZxU8,Mon Oct 07 23:44:59 +0000 2024,889,4023
LunaGitana0333,Papina,"-¿Porqué tan triste, amigo?
-Estaba mirando una porno y en eso entra mi novia por la puerta
-¿Y qué tiene de malo?
-Por la puerta, en la película... https://t.co/FMgZxq5Vs2",Mon Oct 07 23:23:27 +0000 2024,57,305
beetlejuno,cony,mi peor pesadilla sería que margarita termine casada con merlin en krikoragan y rey de novio con única https://t.co/3Wyo1OvyUv,Mon Oct 07 23:38:26 +0000 2024,939,7322
ticketelhamster,Ticket el Hámster 🐹,"🚨Ya están llegando los códigos de Shakira para la venta a fans! 👇🏼

#Shakira #tickethamster 🐹 https://t.co/0x75VKRc5q",Mon Oct 07 23:47:50 +0000 2024,43,848
ElCheZOV,Conciencia. #PalestinaLibre 🇵🇸,"La Unión Soviética debió sufrir la matanza de más de 17 millones de mujeres y niños, mas de 10 millones de hombres y mujeres debieron combatir al nazismo y entregaron su vida luchando. Nunca olvidaremos quien terminó con el nazismo y quien terminara con el sionismo. Fin https://t.co/GE6EbC23pM",Mon Oct 07 23:03:58 +0000 2024,978,2489
andreslongton,Andrés Longton,En la política no todo vale. https://t.co/UTXgs766eU,Mon Oct 07 23:46:32 +0000 2024,20,30
Gonzabaustian9,Gonza Baustian,En esta pieza te voy a hacer mia https://t.co/hhP2bdLkng,Mon Oct 07 23:23:44 +0000 2024,1044,9799
baraibarmicaela,Micaela Baraibar,Cristina es peronismo. No hay dudas https://t.co/IWzmHNlrQC,Mon Oct 07 23:54:49 +0000 2024,93,607
frabigol,Fran,"DALE QUE ESTA RE PLANCHADO TWITTER PELOTUDOS PONGANSE YA MISMO A TWITTEAR #PogbaARiver QUE LO HACEMOS TENDENCIA EN 10 MINUTOS

ABRO HILO EXCLUSIVAMENTE PARA QUE COMENTEN #PogbaARiver 👇👇 https://t.co/hnqGQxR8mI",Mon Oct 07 23:20:34 +0000 2024,398,4455
memefeos,memes feos yo qué sé,Yo llegando cuando solo quedan 15 minutos pa que se acabe la clase : https://t.co/pAPugjti67,Mon Oct 07 23:52:35 +0000 2024,2119,18990
CrystalMollyTTV,Crystal Molly,Que bien me veo al lado de hombres  altos 😳 y usando tacone!!! https://t.co/M1XQNeJdR6,Mon Oct 07 23:10:36 +0000 2024,155,13175
HELA_MORE,𝙷𝚎𝚕𝚊 𝙼𝚘𝚛𝚎 🐶,"En memoria de todos esos animalitos que jamás conocieron un hogar y jamás formaron parte de una familia.
Esos animalitos que se fueron en total anonimato,cargando con ellos todo el dolor y sufrimiento que tuvieron en vida.
No olviden poner algo para ellos en sus ofrendas 🥺 https://t.co/NCwmM9nuyt",Mon Oct 07 23:54:10 +0000 2024,1341,5890
IvnCamargo9,Iván,Odio los buses con mi vida 😭 https://t.co/qjAzkKMmdL,Mon Oct 07 23:33:37 +0000 2024,990,5449
LucaBonfante98,Luca Bonfante,"A partir de este momento Filosofía y Letras de la UBA se encuentra bajo control de los estudiantes por las próximas 48H. Se dictarán clases públicas y nos preparamos para convocar al Congreso el próximo miércoles.

Abajo el veto y todo el plan de Milei. Unamos todas las luchas. https://t.co/Kq7o68fWkh",Mon Oct 07 23:49:42 +0000 2024,2028,13022
la12tuittera,Boca Juniors - La12Tuittera,💙💛💙Ganó #Boca y así está Edi🇺🇾. https://t.co/UrxHOJAmns,Mon Oct 07 23:08:08 +0000 2024,77,3367
giraltpablo,Pablo Giralt,"Así llegó Konaté a la concentración de Francia 😳

¿Opiniones? https://t.co/zFZiJbSIfZ",Mon Oct 07 23:48:47 +0000 2024,37,714
MAndreaNieto,MARIA ANDREA NIETO,"Hace un año los terroristas de Hamás asesinaron a una comunidad entera mientras dormía. Quemaron bebés vivos en los hornos de sus casas y obligaron a sus padres a verlo. Violaron a niñas y mujeres delante de sus familiares, les pegaron un tiro de gracia a mamás y papás delante de https://t.co/5evkHl3t7C",Mon Oct 07 23:44:04 +0000 2024,784,1313
CarlosVerareal,Carlos Vera,Actitud CORRECTA. https://t.co/Rt154wMFlm,Mon Oct 07 23:29:32 +0000 2024,43,181
5toPoderSM,5toPoder La Verdad sin Miedo,"ALLANAMIENTOS POR CASO DE PEDOFILIA DE LOS DEMÓCRATAS 

INFORMACIÓN CLASIFICADA 

Aunque la Fiscalía Especial Contra la Impunidad - FECI solo afirma que se encuentra realizando allanamientos para defender a la niñez guatemalteca; se sabe que es el caso de Save the Children por https://t.co/7fwNZoa44L",Mon Oct 07 23:47:23 +0000 2024,61,119
AlexBaks82,Alex Baqueiro,"Hasta ahora, todo tranquilo...les seguiré informando. #Milton 🌪️ https://t.co/13CaF1e3Tb",Mon Oct 07 23:47:34 +0000 2024,46,921
Car_Comenta,C,"Marina será candidata al premio nobel de la paz por no arrastrar a pelayo por el plató 

Este ser no pierde oportunidad para intentar humillar y ridiculizar

Marina calla, sonríe y queda por encima #MCCelebrity https://t.co/7CSxjbj7uY",Mon Oct 07 23:10:30 +0000 2024,910,12075
LauraMex,Laura 🌸,"Restaurante Palominos se va de #Culiacán por la inseguridad. 

Otro más, y apenas van 6 días de este sexenio de muerte 💀 https://t.co/LdiNEyRPA4",Mon Oct 07 23:26:29 +0000 2024,91,205
KaguyaSama_Fan,𝘒𝘢𝘨𝘶𝘺𝘢 𝘚𝘢𝘮𝘢 𝘍𝘢𝘯 ~愛~ 💖,"NOMINACION AL TORNEO DE WAIFUS
no hace falta que lo explique pero lo hare de todos modos
4 waifus x persona, solo de Anime/Manga, Foto y nombre del personaje, si pueden decir la obra mejor. https://t.co/xdlLv4oxWP",Mon Oct 07 23:39:10 +0000 2024,22,189
frabigol,Fran,"📞 SONÓ EL TELÉFONO EN EL MONUMENTAL

🇫🇷🗣️ ""Muñeco, quiero JUGAR EN RIVER y HACER HISTORIA como lo hizo hizo MI AMIGO, el REY DAVID TREZEGUET""

🇦🇷👔 ""PAUL, tu llamado me dejó demasiado CONMOVIDO, te espero LA PRÓXIMA SEMANA en EZEIZA""

✅️ OFICIAL: VIENE POGBA 🐔

#PogbaARiver https://t.co/ZUgHk7j9U2",Mon Oct 07 23:44:49 +0000 2024,152,4129
Sudamericana,CONMEBOL Sudamericana,"🏟️ 🇵🇾🏆 ¡La Final de la CONMEBOL #Sudamericana, una vez más en el estadio ueno La Nueva Olla de Asunción! 

🔜 Se jugará el 23/11

#LaGranConquista https://t.co/YWa4GYQVkH",Mon Oct 07 23:54:27 +0000 2024,83,324
estebanavila,Esteban Ávila Villagómez,A las órdenes de todos ustedes https://t.co/0l4KGoyA3E,Mon Oct 07 23:40:20 +0000 2024,59,931
MissaSinfonia,Missa Sinfonia,"“Perdon profe, no trajimos la cartulina.” https://t.co/9GkW1W3i1O",Sat Oct 05 15:34:12 +0000 2024,7783,93105
peladodelatv,El Pelado Trebucq,"¿Votarías a Javier Milei en el 2027? 👇🏼

1- Si
2- No https://t.co/2zOm8R1cEC",Wed Oct 02 21:48:32 +0000 2024,4289,52702
DPRIAN_,Christian Yu,"buenas tardes ciudad de méxico
😍 https://t.co/IAPS17KGmU",Mon Oct 07 21:08:17 +0000 2024,10967,61140
s44nti,santi,yo cuando ignoran algo que conté con mucha emoción https://t.co/PUYymXsF23,Mon Oct 07 04:52:01 +0000 2024,46651,230175
Guarromantico_,El Guarromántico,Cosas extrañas suceden. https://t.co/BrlHfSZdqL,Tue Oct 01 01:35:12 +0000 2024,12407,49711
JUANES,JUANES,Mi Sangre esta cumpliendo 20 años y yo tengo 52. Pero sigo igual al de la segunda foto… sí o no?🤣 https://t.co/G9aEm9XPat,Wed Oct 02 23:55:25 +0000 2024,1736,31801
Nacional,Nacional,🚨 𝐈𝐌𝐏𝐎𝐑𝐓𝐀𝐍𝐓𝐄 https://t.co/IC5L5xrYtb,Sun Oct 06 23:00:02 +0000 2024,2913,21513
Informa_GDL,Informa_GDL,"Esto ES MÉXICO 🇲🇽 🩸🩸🩸🩸🇲🇽🇲🇽🇲🇽🩸🩸🩸🩸🇲🇽🇲🇽🇲🇽⚠️ EL MÉXICO QUE USTEDES ELIGIERON.

DISFRUTEN LO VOTADO. https://t.co/7Ebk4YGM4A",Mon Oct 07 04:15:53 +0000 2024,7947,66854
dilocondibujos_,Dilo con dibujos,y me enamoré 😍 https://t.co/XptFsgA3UF,Mon Oct 07 14:21:54 +0000 2024,5859,46705
RadioGenoa,RadioGenoa,Europe 2024. https://t.co/XtkorENM48,Mon Oct 07 13:56:46 +0000 2024,5747,40249
ElAlexQuackity,ElQuackity,padre e hijo se vuelven a encontrar después de años https://t.co/HF79Taazdy,Fri Oct 04 14:19:12 +0000 2024,7970,74237
OtakusCursed_06,Frikis del día a día,"""Mi primera chamba"" https://t.co/oV5PRnAtLT",Sun Oct 06 21:23:59 +0000 2024,1668,45824
daniesdsk,Dani Dsk,"🚨🚨🚨URGENTE 🚨🚨🚨

Se busca. Ha sucedido en Barcelona.

Recompensa de 5.000€ a quién pase información para localizarlo

Te voy a enseñar el camino de la luz

🐀 🐀🐀🐀🪓 🪓🪓🪓 https://t.co/0IxRIB8Em6",Mon Oct 07 15:53:33 +0000 2024,35390,194126
XochitlGalvez,Xóchitl Gálvez Ruiz,Carta a @Claudiashein: https://t.co/skMI3d0bfg,Tue Oct 01 16:02:11 +0000 2024,2590,16560
ryo_hermoso,Ryo 💞,Te gustaría que Estados Unidos entrara por Nicolás Maduro y se lo llevara preso como lo hizo con Manuel Antonio Noriega en Panamá ? 🥳👇🙋‍♀️ https://t.co/nFQNiGzg3K,Sat Oct 05 18:02:11 +0000 2024,5553,30142
1spiderdan,𝐃𝐀𝐍 🕷️,"La Historia Completa Sobre el Caso de Sean ""Diddy"" Combs

➡️ por qué lo arrestaron, las acusaciones y los famosos involucrados (+ video)

Abro Hilo 🧵 https://t.co/4yfgIxAjEZ",Sun Sep 29 18:14:37 +0000 2024,10569,150227
RelatocuriosoK,𝖪𝖾𝗇𝗂𝖺 𝗅𝗈 𝗁𝖺𝖼𝖾 𝗍𝗈𝖽𝗈 𝗆𝖺𝗅,"Todo sobre el caso de Diddy y las teorías que lo vinculan con las muertes de 2Pac, Michael Jackson y más‼️

Abro hilo🧵 https://t.co/qMW7FPXm2q",Wed Oct 02 00:38:25 +0000 2024,10370,146244
NetflixLAT,Netflix Latinoamérica,"La encantadora y mágica historia de amor de esta pareja entra en un nuevo capítulo 💖. ¡Acompaña a Miyo y Kiyoka en su viaje en la segunda temporada de 'Mi feliz matrimonio', que llegará en enero de 2025! https://t.co/AjA4nDpaYS",Mon Sep 23 01:00:00 +0000 2024,356,2336
En_jupiter_,En Júpiter,Un grupo de pollos organiza peleas ilegales de perros. https://t.co/ETRBQEDxL8,Thu Oct 03 00:03:25 +0000 2024,17595,159299
agusantonetti,Agustín Antonetti,"Lo que se ha revelado en Bolivia durante las ultimas horas es uno de los casos más ATROCES de la historia política latinoamericana. 

Los documentos filtrados de la Fiscalía de Tarija hablan de una red de trata de menores liderada por el entonces presidente Evo Morales.

HILO 🧵 https://t.co/FiyB3VvweS",Thu Oct 03 19:47:19 +0000 2024,31640,80697
Luisfecalderonz,Luis Felipe Calderon Zavala,"Decapitaron al alcalde de Chilpancingo. Lamento las imágenes sensibles, pero es la realidad de nuestro país. Qué impotencia que hoy el gobierno ni se atreve a tocar a los criminales que hacen estas atrocidades: nos abandonaron en manos de narco terroristas. Pobre país. https://t.co/pHxE8oJ8wd",Mon Oct 07 18:07:47 +0000 2024,3383,14183
EnsedeCiencia,Enséñame de Ciencia,Opiniones 🤔 https://t.co/n3LI9iougz,Mon Oct 07 10:50:16 +0000 2024,1367,19238
adn40,adn40,"🐶: Tranquila, humana. No quiero asustarte, solo tengo hambre ☺️ https://t.co/cmiPB6nDRo",Mon Oct 07 02:15:00 +0000 2024,6122,81065
TheTopComics,The Top Comics,No de nuevo 🥹 https://t.co/Nk8nwm4etL,Fri Oct 04 15:16:29 +0000 2024,2385,42365
tomiezequiel15,tom,mi relación con mi mamá es algo así: https://t.co/TkKop615LB,Sun Oct 06 12:35:55 +0000 2024,32277,128489
Roiereal,Roier,Luzu del presente y luzu del pasado https://t.co/Yej0cRZdn0,Fri Oct 04 13:48:11 +0000 2024,4302,64759
tomiezequiel15,tom,Yo siempre: https://t.co/BnzTHGkVUI,Sat Oct 05 19:25:20 +0000 2024,31220,164487
bereaguilarv,Bere Aguilar,"Sacar del hospital a Ifigenia Martínez para entregarle la banda a Sheinbaum, fue un acto imprudente, inhumano y miserable tanto de su familia como de Morena. Sin embargo, verla ahí en coma y  respirando artificialmente fue una fidedigna representación del estado actual de México. https://t.co/lAMCAfsItc",Sun Oct 06 07:17:20 +0000 2024,6269,30192
Tagelca,Tage,Castigo fantasy sale mal https://t.co/byJ2hy3SLC,Mon Oct 07 12:15:10 +0000 2024,4926,55657
eduardomenoni,Eduardo Menoni,"🚨| ÚLTIMA HORA: 🇬🇪 El parlamento de Georgia firma oficialmente la ley que prohíbe el matrimonio entre personas del mismo sexo, la cirugía de reasignación de género, los eventos del orgullo y las exhibiciones de la bandera arcoíris LGBTQ. ⚠️ ¿Apoyas esta CONTUNDENTE medida? https://t.co/riSnMkg95P",Fri Oct 04 01:20:32 +0000 2024,4570,43218
