Cuenta_Twitter,Usuario,Texto,Creado en,Retweets,Likes
saranyca,SaraNyca|سارة|SPOILERS DE TODO⚠️,No podéis convencerme de que esto no es literatura https://t.co/9jxMTEBUzZ,Tue Oct 08 17:16:51 +0000 2024,3624,39772
WikiBarraquena,Mundo Barracas,"[ABRO HILO] 🧵

De los mejores chats de Whatsapp o Instagram https://t.co/P2ze5DERID",Tue Oct 08 20:30:36 +0000 2024,2846,83286
iTumblr147,Tumblr†,Mi tipo: https://t.co/QT8ANdD2Yi,Tue Oct 08 23:57:51 +0000 2024,1670,6269
peladodelatv,El Pelado Trebucq,"¿Votarías a Javier Milei en el 2027? 👇🏼

1- Si
2- No https://t.co/2zOm8R1cEC",Wed Oct 02 21:48:32 +0000 2024,4288,52720
dominguueezz,dominguezz 💗,las notas de cualquier chica https://t.co/em3DdTmPay,Tue Oct 08 13:33:55 +0000 2024,10027,45118
LailaMickelwait,Laila Mickelwait,Shero. https://t.co/2Rob1NJQ2C,Tue Oct 08 07:51:06 +0000 2024,12573,76113
lukamodric10,Luka Modrić,Enhorabuena por tu carrera. Ha sido un placer. Mucha suerte en tu nueva etapa 🤝 @andresiniesta8 https://t.co/VLL7WI2mwv,Tue Oct 08 19:57:03 +0000 2024,7510,113474
luis_gj,Luis González,Este es el wey que corrió en vivo al periodista del noticiero por criticar a la 4T. https://t.co/PFWNJ8vURC,Tue Oct 08 21:58:15 +0000 2024,4055,15470
tomiezequiel15,tom,yo twitteando cosas sin tener seguidores https://t.co/ogzWhHeAM3,Tue Oct 08 23:39:40 +0000 2024,1330,4447
RiverLPM,La Página Millonaria,"VIVIR Y RESPIRAR RIVER. ❤️

Jonatan Maidana. https://t.co/EWIqWixNDl",Tue Oct 08 23:06:37 +0000 2024,383,4169
s44nti,santi,yo cuando ignoran algo que conté con mucha emoción https://t.co/PUYymXsF23,Mon Oct 07 04:52:01 +0000 2024,50975,248783
arigameplays,Ari Gameplays 🤍,Ya vente hoy quedamos payasos en dedsafio https://t.co/QVCbjZRBGe,Tue Oct 08 23:47:41 +0000 2024,329,15254
Rhevolver,Rhevolver,"Ya andamos en la hora del almuerzo en el jale mi raza, buen provecho https://t.co/T8PjjqfA2Q",Tue Oct 08 16:55:28 +0000 2024,2796,47516
Guarromantico_,El Guarromántico,Cosas extrañas suceden. https://t.co/BrlHfSZdqL,Tue Oct 01 01:35:12 +0000 2024,12405,49708
MissaSinfonia,Missa Sinfonia,"“Perdon profe, no trajimos la cartulina.” https://t.co/9GkW1W3i1O",Sat Oct 05 15:34:12 +0000 2024,7785,93205
lalobadecatan,LLDC 🐺🇦🇷,No soporto más tener un presidente con esta cara de imbécil https://t.co/sxNJdhj2Pu,Tue Oct 08 22:19:36 +0000 2024,642,6081
RiverPlate,River Plate,"Lamentamos el fallecimiento de Omar Palma, figura del fútbol argentino que dejó su recuerdo en River, donde obtuvo la Copa Interamericana 1987 y marcó el gol que definió uno de los mejores Superclásicos de la historia. El Club acompaña a su familia y seres queridos en estos https://t.co/ZwyKRs5h3c",Tue Oct 08 12:53:03 +0000 2024,1113,14336
daniesdsk,Dani Dsk,"🚨🚨🚨URGENTE 🚨🚨🚨

Se busca. Ha sucedido en Barcelona.

Recompensa de 5.000€ a quién pase información para localizarlo

Te voy a enseñar el camino de la luz

🐀 🐀🐀🐀🪓 🪓🪓🪓 https://t.co/0IxRIB8Em6",Mon Oct 07 15:53:33 +0000 2024,36903,204624
TugoNews,TUGO News,"Tranquilo el Presidente de la nación AMENAZANDO a los argentinos, no pasa en NINGUN otro país del mundo esto, impresentable https://t.co/6sRj8tNdMv",Tue Oct 08 22:58:08 +0000 2024,1331,5434
RelatocuriosoK,𝖪𝖾𝗇𝗂𝖺 𝗅𝗈 𝗁𝖺𝖼𝖾 𝗍𝗈𝖽𝗈 𝗆𝖺𝗅,"Todo sobre el caso de Diddy y las teorías que lo vinculan con las muertes de 2Pac, Michael Jackson y más‼️

Abro hilo🧵 https://t.co/qMW7FPXm2q",Wed Oct 02 00:38:25 +0000 2024,10368,146277
ultimahoraenx,ULTIMA HORA EN 𝕏,"🇺🇸 Una usuaria se burla de las políticas de monetización de Twitch al abusar de las normas, mostrando su cuerpo en un entorno donde muchos usuarios son menores de edad. https://t.co/6vXK1Xp1Oh",Tue Oct 08 07:21:17 +0000 2024,5948,98096
l_og2,•,Y ya sin hambre? https://t.co/6u4yuLdjvi,Tue Oct 08 17:55:39 +0000 2024,407,11768
florsbertotti,sofi,COMO MI AMOR https://t.co/WFrz9HEaUp,Tue Oct 08 23:37:03 +0000 2024,515,11115
RadioGenoa,RadioGenoa,Europe 2024. https://t.co/XtkorENM48,Mon Oct 07 13:56:46 +0000 2024,5970,41827
DPRIAN_,Christian Yu,"buenas tardes ciudad de méxico
😍 https://t.co/IAPS17KGmU",Mon Oct 07 21:08:17 +0000 2024,11588,65082
maxpugliese92,𝙈𝘼𝙓𝙄,"🚨‼️ MIGUEL BORJA iniciará ACCIONES LEGALES contra el colegio de sus hijos por falsa denuncia.
ℹ️ @DiarioOle https://t.co/Drw5RDaPox",Tue Oct 08 23:17:30 +0000 2024,335,8412
juegosimple__,JS,"🚨🇦🇷 Miguel Ángel Borja fue DENUNCIADO ante la justicia por maltrato físico a sus hijos de 7 y 10 años.

⚠️ La denuncia la realizó la directora del colegio.

vía @okdobleamarilla https://t.co/BmTVAjdpYh",Tue Oct 08 20:13:59 +0000 2024,428,11891
programa_hoy,Programa Hoy,¡Bienvenido! Oficialmente @NicolaPorcella se integra a la familia de HOY🤗🤗🤗🤍🤍 https://t.co/xz3EPKd276,Tue Oct 08 15:06:58 +0000 2024,565,12798
Informa_GDL,Informa_GDL,"Y si esto ES MÉXICO 🇲🇽 🩸🩸🩸🩸

⚠️🇲🇽🩸⚠️🇲🇽🩸⚠️🇲🇽🩸⚠️🇲🇽🩸⚠️🇲🇽🩸

GUARDIA NACIONAL ATROPELLA Y DESAPARECE A 2 jóvenes.

Hace 3 días .

LOS MUCHACHOS ESTÁN EN CALIDAD DE DESAPARECIDOS.

Esto pasó hace 3 días :

En el estado de MÉXICO 🇲🇽 

LOS JÓVENES JAMÁS LLEGARON A NINGÚN https://t.co/gcao31Sxn2",Tue Oct 08 18:49:53 +0000 2024,3002,12104
frabigol,Fran,"🗓 2018: 
-&gt; Denuncian a Borre ✅️
-&gt; La denuncia es desestimada ✅️
-&gt; Ganamos la Libertadores ✅️

🗓 2024: 
-&gt; Denuncian a Borja ✅️
-&gt; La denuncia es desestimada ✅️
-&gt; Ganamos la... ⏳️⏳️⏳️ https://t.co/fK2nyGwDV9",Tue Oct 08 23:17:23 +0000 2024,198,3695
LillyTellez,Lilly Téllez,La presidente Sheinbaum insulta su investidura. https://t.co/GMCq2aBdg5,Tue Oct 01 20:48:49 +0000 2024,5801,24138
MedioRiver,Medio River,"🚨 La Dra. Gonzalez de la UFI Nº 03, junto con el Servicio Local de Niñez, evaluaron el caso de los hijos de Miguel Borja y determinaron que NO sufren maltrato en su hogar y se dispuso que los niños regresen con sus padres a su domicilio. https://t.co/FKt59t0hYQ",Tue Oct 08 20:52:26 +0000 2024,342,5696
RiverPlate,River Plate,¿El Superclásico? NUESTRO 🤩 https://t.co/RlGTroKwGD,Sat Sep 21 22:07:30 +0000 2024,7999,44471
NetflixLAT,Netflix Latinoamérica,"Pronto conoceremos el mítico pueblo de Macondo, a la familia Buendía, las maldiciones, los sueños, la locura y los amores imposibles. La 1ra. parte de ‘Cien años de Soledad’, la serie basada en la obra maestra de Gabriel García Márquez, llega el 11 de diciembre. Solo en Netflix. https://t.co/1pJApRqmfh",Tue Oct 08 12:00:21 +0000 2024,1269,7499
RiverPlate,River Plate,"SÚPER CLÁSICO, MANOLO 🔥 https://t.co/U6gXDtLznY",Sat Sep 21 21:31:05 +0000 2024,3495,28474
c4jimenez,Carlos Jiménez,"ADMIRANDO a LA RATA PRENSADA
Así buscaban tomar fotos y ver al tipo prensado en su moto.
Él y uno más, encañonaron y asaltaron a una joven q iba en camioneta por la peligrosa @Alc_Iztapalapa 
Ella aceleró y los arrolló
A éste lo mató
El otro huyó
@SSC_CDMX y @FiscaliaCDMX indagan https://t.co/JR2zBu34M0",Wed Oct 02 21:34:33 +0000 2024,5301,70594
eduardomenoni,Eduardo Menoni,🚨| ÚLTIMA HORA: DURÍSIMO GOLPE AL ZURDAJE PROGRE. La película JOKER 2 PIERDE 70 MILLONES DE DÓLARES Y ES CLASIFICADA COMO 'LA PEOR PELÍCULA DE 2024'. La ideología feminista que introdujeron con Lady Gaga ARRUINÓ el film. ⚠️ ¿Estás de acuerdo en que la ideología progre es mierda? https://t.co/fjE0ooBRss,Mon Oct 07 13:52:12 +0000 2024,5424,39054
GerGarciaGrova,Germán García Grova,"👉🏾En horas de la mañana la directora del
Colegio de los hijos de Borja contactó a las autoridades policiales por un comentario de los niños sobre un supuesto maltrato

*️⃣Intervino la policía y se radicó la denuncia correspondiente contra Miguel y su esposa.

📌Finalizadas las https://t.co/zjlhb7gUgn",Tue Oct 08 20:44:49 +0000 2024,332,2746
En_jupiter_,En Júpiter,Un grupo de pollos organiza peleas ilegales de perros. https://t.co/ETRBQEDxL8,Thu Oct 03 00:03:25 +0000 2024,17595,159330
agusantonetti,Agustín Antonetti,"Lo que se ha revelado en Bolivia durante las ultimas horas es uno de los casos más ATROCES de la historia política latinoamericana. 

Los documentos filtrados de la Fiscalía de Tarija hablan de una red de trata de menores liderada por el entonces presidente Evo Morales.

HILO 🧵 https://t.co/FiyB3VvweS",Thu Oct 03 19:47:19 +0000 2024,31647,80718
AlvarezMaynez,Jorge Álvarez Máynez,"Que lamentable escena.

Toda mi solidaridad con Gustavo Macalpin frente a este grotesco acto de censura.",Tue Oct 08 14:10:00 +0000 2024,2558,21482
QuePocaMadre_Mx,Qué Poca Madre 🇲🇽,"‼#QuePocaMadre‼ EXIGEN #JusticiaParaJonathanJaimes, JOVEN ARROLLADO POR ELEMENTOS DE LA GUARDIA NACIONAL EN CHIMALHUACÁN 🚨💥⚠

🔴 El pasado 20 de agosto de 2023, una patrulla de la @GN_MEXICO_ arrolló a dos jóvenes que viajaban en motocicleta rumbo a una fiesta en el https://t.co/fD7crb8NWZ",Tue Oct 08 23:01:19 +0000 2024,136,296
ArrepentidosLLA,Arrepentidos de Milei,Hoy también se votó tomar el rectorado de la Universidad de la Plata (UNLP) y la Facultad de Ciencia y Tecnología de la UNSAM. Ya son más de 10 facultades que se plegaron a la lucha en contra del veto en todo el país https://t.co/qpVlXntxzr,Tue Oct 08 23:30:52 +0000 2024,336,1215
dianaaaaaugust,Diana 🍒,"Dios mío díganme que ya todas vieron al novio que le escribió cartas a su novia durante un año sin enviárselas y cuando cumplieron un año, las hizo un libro y se lo dio de regalo de aniversario????? Estado: LÍQUIDO.",Tue Oct 08 16:53:41 +0000 2024,7388,45814
frabigol,Fran,"HACELOS MIERDA BORJA !!!!!!
CON RIVER NO SE JODE, SIN PIEDAD https://t.co/xGeDKRCeoP",Tue Oct 08 23:06:07 +0000 2024,335,8569
luis_gj,Luis González,"Gustavo Macalpin, el periodista que fue despedido en vivo por cuestionar al régimen de la 4T, también ha sido muy incómodo por demostrar que el pueblo bueno que tanto presume Morena que es sabio, en realidad no tiene NADA de sabiduría. https://t.co/kNGECu6jyk",Tue Oct 08 17:17:34 +0000 2024,4529,16693
LuisCardenasMx,LuisCardenasMX,"🚨NOROÑA APROVECHA EL FUERO🚨 Fernández Noroña en moto, SIN CASCO y en carril exclusivo del Metrobús 😱. El Senador violó las leyes de tránsito de la CDMX y causó indignación en redes por su IRRESPONSABILIDAD 🛑. Alega que fue para llegar a tiempo, pero las multas superan los 8 https://t.co/ZoJpVYi9wm",Fri Oct 04 21:17:51 +0000 2024,9975,21599
UHN_Plus,UHN PLUS,"🇯🇵🇺🇸 | ÚLTIMA HORA

Toyota ha anunciado que dejará de patrocinar desfiles y eventos LGBTQ, y ya no promoverá iniciativas de diversidad, equidad e inclusión (DEI). https://t.co/17E95OIw76",Sat Oct 05 02:49:26 +0000 2024,8538,69493
spikermonster,Spike R.I.P. Monster 🪲,season 4 lydia https://t.co/RFMdJ4av7u,Tue Oct 08 23:52:49 +0000 2024,402,3224
eduardomenoni,Eduardo Menoni,"🚨| MEL GIBSON fue de los pocos actores de Hollywood que sensibilizó sobre el TRÁFICO DE NIÑOS y la PEDOFILIA en HOLLYWOOD, cuando dijo que apoyaba a “Sound of Freedom” los progres lo atacaron. ⚠️ Hoy con lo de P. Diddy se demuestra que tenía RAZÓN. Yo apoyo a Mel Gibson ¿y tú? https://t.co/uOJoEtBnWO",Thu Oct 03 16:50:12 +0000 2024,11603,58084
catrina_nortena,La Catrina Norteña,"#FueraPiñaySuPandilla 
🚨 CORREN EN VIVO A ODIADOR DE AMLO 

Ayer Despidieron a  Gustavo Macalpin del Canal 66 después de echarle veneno a AMLO y meterse con sus hijos durante más de 6 años.

Me encantan los finales felices... https://t.co/5RhoiLq1ni",Tue Oct 08 16:09:14 +0000 2024,1448,4011
vagoilustrado,Vagabundo ilustrado,"Tras la muerte de Piñera, Chadwick se preparaba para regresar a la política (a poco de cumplirse 5 años de inhabilidad). Expresidentes como Macri y Duque le pidieron continuar ""el legado de Piñera"", y ya se coordinaba su retorno. ¿Ahora? A nada de entrar a Capitán Yáber (cárcel). https://t.co/NkfH8aEFpS",Tue Oct 08 23:56:25 +0000 2024,133,280
SigmaActivity,Brandon 💉,"""Define aura"" https://t.co/j8qH2xFu5h",Mon Sep 30 07:44:33 +0000 2024,38055,731526
NetflixLAT,Netflix Latinoamérica,"La encantadora y mágica historia de amor de esta pareja entra en un nuevo capítulo 💖. ¡Acompaña a Miyo y Kiyoka en su viaje en la segunda temporada de 'Mi feliz matrimonio', que llegará en enero de 2025! https://t.co/AjA4nDpaYS",Mon Sep 23 01:00:00 +0000 2024,356,2338
ElAlexQuackity,ElQuackity,padre e hijo se vuelven a encontrar después de años https://t.co/HF79Taazdy,Fri Oct 04 14:19:12 +0000 2024,7985,74670
luis_gj,Luis González,"La fanaticada de Morena celebrando y aplaudiendo la censura y el despido de un trabajador. 

¿En qué mierda de país nos estamos convirtiendo? https://t.co/VCxk2qyXT2",Tue Oct 08 18:40:46 +0000 2024,1000,6175
eldiariodedross,DROSS,Cancelaron la animación de Velma. JAJAJAJAJAJAJ JAJAJAAJAJA JAJAJAJA JAJAJAAJAJ JAJAAJAJAJ JAJAAJA https://t.co/9BuEBenXEI,Tue Oct 08 20:25:38 +0000 2024,612,8580
GuapoHerminio,Guapo Herminio,"Tuve que ir a chequearlo, no es fake. El PRESIDENTE retuiteó esto. ""Zurdos después no lloren DDHH y lesa humanidad"". Uno ya no sabe por cuáles de las 100 desgracias que suceden por día alarmarse, pero esto es grave https://t.co/zcvjxdZ1Dp",Tue Oct 08 22:48:35 +0000 2024,540,1801
CarneDeAzucar,LA GRAN SUGARITA ✨,¿Cual eres ? https://t.co/jRABk2JeRg,Tue Oct 08 23:02:42 +0000 2024,9,240
tarrito79,Tarrito de Pecas,"Mc Donalds sacó una cajita feliz para adultos 🥹 con los personajes de Friends.

😍 https://t.co/MDg15oIkyZ",Tue Oct 08 15:42:48 +0000 2024,1877,30374
JUANES,JUANES,Mi Sangre esta cumpliendo 20 años y yo tengo 52. Pero sigo igual al de la segunda foto… sí o no?🤣 https://t.co/G9aEm9XPat,Wed Oct 02 23:55:25 +0000 2024,1735,31798
DeniseDresserG,Denise Dresser,"Que no vuelvan jamás a presumir una superioridad moral inexistente. 
Que no vuelvan jamás a decir cuán demócratas son. 
Que no vuelvan jamás a decir que no son iguales. 
Que no vuelvan jamás a hablar de cómo eliminaron la corrupción. 

El beso de Claudia Sheinbaum a la mano de https://t.co/cLQjzaYW6p",Wed Oct 02 03:21:01 +0000 2024,6229,19532
PatoBullrich,Patricia Bullrich,"NO VAMOS A PERMITIR QUE EXTRANJEROS OCUPEN TERRITORIO ARGENTINO ILEGALMENTE

Que quede claro: incautaremos las plantaciones ilegales, expulsaremos a los invasores y bloquearemos el ingreso de quienes no tengan residencia.

La GNA ya inspeccionó y delimitó la zona con GPS tras la https://t.co/2MUIixqqxi",Sun Oct 06 15:55:02 +0000 2024,5795,36217
