Cuenta_Twitter,Usuario,Texto,Created At,Retweets,Likes
1,Daiana 🫶🐔,"Que lindo vivirlo con vos TE AMO 
🫶🏻💓👩‍❤️‍👩🐔🤍❤️🤍 https://t.co/SVU5QOoQu7",Thu Aug 22 19:59:50 +0000 2024,0,59
2,Liliana Sánchez 🇦🇷♌🦁,"Y la chorra cuánto se ha llevado en todos éstos años ?? 
14 millones por mes jubilación vip pero no sin antes kgarse en los jubilados que ahora les preocupan a ustedes, el gatero vetó la ley de Macri por orden de ésa delincuente y antes ella 
👇
Memoria de merde la tuya https://t.co/6r3erWuvZj",Sat Aug 24 21:42:16 +0000 2024,6,12
3,𝓡𝓪𝓿𝓮𝓷,Nomas no me tiro del puente porque me da paja ir a pie hasta allá.,Sat Aug 24 23:36:29 +0000 2024,0,1
4,Daiana 🫶🐔,Te amo con mi vida amiga @BelenSotoH 🫶🏻❤️‍🩹❤️‍🩹👩‍❤️‍👩 https://t.co/0OQMQnM5eW,Tue Aug 20 15:15:51 +0000 2024,0,25
5,Regatas La Pasión 👻,"Hay pivote, señores! Myles Carter, estadounidense de 27 años y 2.06 m, se suma a Regatas para la temporada 2024/25. #VamosParque 👻💙🤍 https://t.co/hBbsujjdDD",Fri Aug 23 22:01:51 +0000 2024,0,11
6,morocha🍒,PORQUE TENEMOS QUE SUFRIR ASIIIIIIIII,Fri Aug 23 02:26:40 +0000 2024,3,27
7,Nadia Guadalupe Frias,"Compleanno numero quaranta della Piccolina della casa: te amo hermana!!
#auguri https://t.co/LVTR1EnNtI",Fri Aug 23 03:05:02 +0000 2024,0,0
8,Liliana Sánchez 🇦🇷♌🦁,Bendice siempre tu trabajo... https://t.co/Ak894HHQqz,Sat Aug 24 12:32:52 +0000 2024,6,17
9,@Silvia Delfina,Ali de vacaciones en Sansun con sus abuelos maternos #IbrahimCelikkol https://t.co/U4rVIMvw1X,Fri Aug 23 13:58:23 +0000 2024,1,11
10,morocha🍒,QUE GANE BOCAAAAAAA PORFAVOR 🫶🏼,Thu Aug 22 18:09:54 +0000 2024,1,19
11,Joaquin Melgar,Jqjajakkjjjjjjjaajajaja,Wed Aug 21 19:54:51 +0000 2024,0,0
12,Liliana Sánchez 🇦🇷♌🦁,Manito Lousteau opinando https://t.co/tqM5WUTmBw,Sat Aug 24 10:47:58 +0000 2024,7,16
13,Joaquin Melgar,Lo peor de todo es que no le podemos reprochar nada a advincula y a merentiel,Fri Aug 23 03:40:46 +0000 2024,0,3
14,Joaquin Melgar,No pego una con la obra social lpm,Thu Aug 22 15:21:33 +0000 2024,0,0
15,ᵇᵉˡᵘ,me duele el corasonn,Fri Aug 23 21:11:56 +0000 2024,0,0
16,morocha🍒,YA NO DOY MAS,Fri Aug 23 00:51:11 +0000 2024,0,2
17,Liliana Sánchez 🇦🇷♌🦁,"#24deAgosto 
 #DÍAdelLECTOR

En conmemoración y homenaje al día del natalicio del escritor argentino Jorge Luis Borges.

Abre, lector, tus ventanas 
y echa tu mente a volar 
viaja hacia tierras lejanas,
allende montes y mar... https://t.co/TJdBmB06Ll",Sat Aug 24 12:56:31 +0000 2024,6,15
18,Fernanda,el sabe que es el y nadie más,Sat Aug 24 05:46:47 +0000 2024,0,0
19,morocha🍒,NA DÉJATE DE JODER,Fri Aug 23 00:39:16 +0000 2024,0,1
20,.,"cómo te recarga energías que te culeen bien, recomiendo 🫂",Fri Aug 23 06:04:40 +0000 2024,1,17
