Cuenta_Twitter,Usuario,Texto,Created At,Retweets,Likes
melaflorentin8,𝓶𝓮𝓵𝓪,no quiero que se termine este año 😭,Tue Sep 24 03:59:09 +0000 2024,9,10
mariamervazquez,María Mercedes Vázquez,"Se cumplieron 100 días de la desaparición de #Loan y su familia pide por favor que aparezca 🙏 
Los están esperando 😪

📼 Gentileza de Rafael Palacios, periodista de #Goya https://t.co/D2TuF7IarA",Sat Sep 21 19:30:07 +0000 2024,13,26
LilianaSnchez9,Liliana Sánchez 🇦🇷♌🦁,"Hasta el cielo, mamá . https://t.co/TBUpMI4avr",Tue Sep 24 14:03:17 +0000 2024,4,5
pelochocolate,tu pavada,"Yo no me hubiera expresado con tanta educación, la dignidad de los hermanos Menéndez es de admirar https://t.co/Fw6t97WY2d",Tue Sep 24 18:17:27 +0000 2024,6,49
LilianaSnchez9,Liliana Sánchez 🇦🇷♌🦁,Así es 🥺 https://t.co/Cp45aHVMrB,Fri Sep 20 13:45:47 +0000 2024,7,15
LuciMombellii,ʟᴜᴄɪʟᴀ ✨,"me encantaría poder expresar miles de cosas lindas que me pasan, pero la gente siempre arruina todo si que toca hacer de callado 🤐",Mon Sep 23 15:59:55 +0000 2024,16,15
analiavalenzue4,analia valenzuela,Buenos días! 🦮🐩🐈‍⬛🐾🐾🐾💞💞💞,Sat Sep 21 09:54:23 +0000 2024,0,16
LilianaSnchez9,Liliana Sánchez 🇦🇷♌🦁,"#23deSeptiembre
Verdad 👍 https://t.co/9R0NlsBSda",Mon Sep 23 11:22:26 +0000 2024,7,10
Flabelensilva,flaabelen,"Dato para las chicas que se tiñen y quieren sus rubios perfectos, de donde NO ir, foto del antes, foto de referencia y de como salí 🤡🤡🤡🤡🤡 https://t.co/6ElP5RkyqX",Wed Sep 18 02:10:20 +0000 2024,1,28
valentontax,Valentina Klenyuk,Flores amarillas??? Dame un cajón de frutillas mejor 😩,Mon Sep 16 01:38:31 +0000 2024,36,23
TotoGonzalezt,Toto,"odio el calor, SIEMPRE",Mon Sep 23 15:28:07 +0000 2024,5,4
LilianaSnchez9,Liliana Sánchez 🇦🇷♌🦁,"DIOS LES BENDIGA A TOD@S

BUENOS DÍAS https://t.co/D9d6kNNvix",Tue Sep 24 13:19:58 +0000 2024,1,2
karlaromeeroo,𝙺𝚊𝚛𝚕𝚊 𝚁𝚘𝚖𝚎𝚛𝚘,todo lo que alguna vez quise🥹,Mon Sep 23 00:10:06 +0000 2024,3,4
valentinboke,hago catequesis y yoga,che alguien consume esto no irónicamente? se me hace que solo lo ven palermitanos https://t.co/2PmGQMmafg,Tue Sep 24 00:51:46 +0000 2024,0,3
PeteCoVischi,Peteco Vischi,"Vischi: “Que la firma del Tratado de Integración de la Región Litoral se haya dado en Corrientes no es casualidad”
https://t.co/WVHrysvZJ9",Sun Sep 22 12:12:30 +0000 2024,2,8
alanlopez892,alann🏟,sigo buscando una buena razón para no irme,Thu Sep 19 02:42:57 +0000 2024,6,7
BravaMecha,Adriana Mercedes🤜🤛,"Porqué no prueba trabajar esta chica?
Tiene todo para poder mantenerse. https://t.co/0BIK0qGrxE",Mon Sep 16 10:52:31 +0000 2024,8,75
arielbaez,Ariel Baez,Te vamos a extrañar ofe!! Te amamos 🫶♥️ https://t.co/yqwBGWbyxS,Tue Sep 24 20:23:10 +0000 2024,4,13
totomorales_,𝐓𝐨𝐦𝐚𝐬,"Lo que está la noche, es lo único que voy a decir.",Fri Sep 20 23:52:40 +0000 2024,11,16
municorrientes,Municipalidad de Corrientes,"Multitudinaria procesión y misa en honor a Nuestra Señora de la Merced, Patrona Jurada de Corrientes 🙏🏼 Acompañamos esta manifestación de fe del pueblo católico y nos unimos en oración 🙌🏼 ¡Viva la Virgen de la Merced! https://t.co/Jzx61P8Ary",Tue Sep 24 23:10:13 +0000 2024,1,5
_abitbol,Eugenio Monjeau,No hay que fumar pero llegado el caso estos son los mejores que existen: https://t.co/l7x8OAVuGA,Sun Sep 22 21:34:17 +0000 2024,0,13
LilianaSnchez9,Liliana Sánchez 🇦🇷♌🦁,Cierto 👍 https://t.co/DHIo5ken9D,Mon Sep 23 11:32:28 +0000 2024,9,23
EduardoHardoy,Eduardo Hardoy,"¡Por más federalismo! 🇦🇷

En #BellaVista, acompañé a los gobernadores de #SantaFe, #EntreRíos, #Chaco, #Misiones, #Formosa y #Corrientes que firmaron el Tratado de Integración de la Región Litoral, cuyo fin es profundizar la asociación para afrontar los desafíos comunes. https://t.co/3V9a6wiXjF",Thu Sep 19 23:45:07 +0000 2024,2,4
LilianaSnchez9,Liliana Sánchez 🇦🇷♌🦁,"Tené$ pauta, no credibilidad, periodi$ta  k https://t.co/QaHYItSyBE",Mon Sep 23 14:00:30 +0000 2024,2,2
pabloprovasi,Pablo Provasi 🇦🇷🇺🇦🇮🇱,"Tremendo discurso de Milei.
Prácticamente les dijo que no sirven para nada.... y que se apartaron de los principios fundamentales constitutivos de la ONU, que son los principios de la libertad.https://t.co/GZigzF40jV",Tue Sep 24 21:44:30 +0000 2024,4,7
luagomezzz,Luana,"uno no llora por personas, llora por la deslealtad y lo mal agradecido que pueden llegar a ser, que no valoren nada, eso duele. Porque superar a una persona se supera, pero lo difícil es superar lo mal que le hacen pasar a uno",Wed Sep 18 16:46:52 +0000 2024,12,16
Agus_morales__,𝐴𝑔𝑢𝑠,Quiero estar cagada en plata para poder irme de corrientes cada vez que empieza el calor,Thu Sep 19 20:28:28 +0000 2024,9,12
GastonFundacion,Fundación Gastón Escuela N°9 Gastón De Los Santos,"El pasado domingo el Taller de Danzas Folclóricas de nuestra institución participó de un cuadro tradicional.🇦🇷💃

Los alumnos fueron acompañados por profesores y padres de Fundación Gastón.👨‍👨‍👧‍👦 https://t.co/VHh08RL5n3",Tue Sep 24 18:32:38 +0000 2024,8,9
LilianaSnchez9,Liliana Sánchez 🇦🇷♌🦁,"DIOS LES BENDIGA A TOD@S

BUENOS DÍAS https://t.co/Qj2EWqG2oI",Fri Sep 20 10:06:17 +0000 2024,6,11
