Cuenta_Twitter,Usuario,Texto,Creado en,Retweets,Likes
tomiezequiel15,tom,yo twitteando cosas sin tener seguidores https://t.co/ogzWhHeAM3,Tue Oct 08 23:39:40 +0000 2024,32335,108863
mariannno_,mariano🤙🏻,que fumar ni que fumar esta es la verdadera adiccion https://t.co/IUueNA6wLb,Tue Oct 08 23:28:05 +0000 2024,6214,26487
En_jupiter_,En Júpiter,"""El amor cura las heridas del cuerpo y el alma"". 🖤 https://t.co/HkSg2z6BKS",Tue Oct 08 23:30:37 +0000 2024,1810,22184
iTumblr147,Tumblr†,Mi tipo: https://t.co/QT8ANdD2Yi,Tue Oct 08 23:57:51 +0000 2024,8287,32862
sebXpu,666 𓅓,"Yo amaneciendo con mi ex, que jure no volver a ver: https://t.co/GrGgoL1iKB",Tue Oct 08 23:16:06 +0000 2024,1819,19186
RiverLPM,La Página Millonaria,"VIVIR Y RESPIRAR RIVER. ❤️

Jonatan Maidana. https://t.co/EWIqWixNDl",Tue Oct 08 23:06:37 +0000 2024,553,7051
gastonfyp,Gastón🫀,Nunca me di cuenta de lo bien que me criaron mis padres hasta que conocí a varias personas,Tue Oct 08 23:59:13 +0000 2024,7437,27171
arigameplays,Ari Gameplays 🤍,Ya vente hoy quedamos payasos en dedsafio https://t.co/QVCbjZRBGe,Tue Oct 08 23:47:41 +0000 2024,953,47106
elmavii_,elenaa🇪🇸,me siento más segura aquí que en el punto morado https://t.co/mhIDyMbAl8,Tue Oct 08 23:17:50 +0000 2024,1347,15251
maransiosa,dudu,"yo leyendo como le dicen ""trola"" a la menor de edad por fijarse en un hombre mayor y no al hombre mayor ""pedofilo de mierda"" por fijarse en una menor https://t.co/051NbB7jI6",Tue Oct 08 23:28:43 +0000 2024,4237,44325
bta_Demian,Demian☆●☆,"¿Qué es eso?

- Será un nahual. https://t.co/Kdi5XB2Xo0",Tue Oct 08 23:31:23 +0000 2024,70,267
maicenitachan,Mar ✨️,JAJAJAJAJAJAJAJAJAJAJAJA https://t.co/Bj8I006uRV,Tue Oct 08 23:30:31 +0000 2024,272,10198
pictoline,pictoline,"Mucho se escucha de los lenguajes del amor, pero ¿lenguajes del estrés? 😵‍💫 Conoce de qué van 👀

#LenguajesDelEstrés #EstrésEmocional #ManejoDelEstrés #SaludMental  #SíntomasDelEstrés #Pictoline https://t.co/TdbJdI1MKJ",Tue Oct 08 23:30:02 +0000 2024,174,519
frabigol,Fran,"🗓 2018: 
-&gt; Denuncian a Borre ✅️
-&gt; La denuncia es desestimada ✅️
-&gt; Ganamos la Libertadores ✅️

🗓 2024: 
-&gt; Denuncian a Borja ✅️
-&gt; La denuncia es desestimada ✅️
-&gt; Ganamos la... ⏳️⏳️⏳️ https://t.co/fK2nyGwDV9",Tue Oct 08 23:17:23 +0000 2024,453,8750
maxpugliese92,𝙈𝘼𝙓𝙄,"🚨‼️ MIGUEL BORJA iniciará ACCIONES LEGALES contra el colegio de sus hijos por falsa denuncia.
ℹ️ @DiarioOle https://t.co/Drw5RDaPox",Tue Oct 08 23:17:30 +0000 2024,446,11277
ArturoVillegasQ,Arturo Villegas,"El México de todos los días:

La policía comunitaria de Olinalá, Guerrero, se enfrentó a balazos a un grupo criminal que aparentemente había secuestrado a un habitante de la comunidad. 

Atraparon a 2 sospechosos y les prendieron fuego. 

Mañana va a decir Omar García Harfuch, https://t.co/FoFrBuRwZd",Tue Oct 08 23:19:11 +0000 2024,130,414
virtualvickyy,vicky con v de no lo voté,me parece TERRORIFICO ir a lo de mis viejos y recordar lo que le hice a mi puerta a los 13 años https://t.co/YGcwEcnDo7,Tue Oct 08 23:31:59 +0000 2024,233,15420
PerlaRosada4,Marian,"Por mí, nos juntamos y prendemos fuego todo. Yo estoy, eh.",Tue Oct 08 23:20:08 +0000 2024,1208,7974
spikermonster,Spike R.I.P. Monster 🪲,season 4 lydia https://t.co/RFMdJ4av7u,Tue Oct 08 23:52:49 +0000 2024,916,8803
pelotazo,Jorge Gómez,"Todos atacan a Bielsa como atacaban a Jesús en su momento. No hay espacio al debate. Cero. El tipo vino al mundo a cambiar la vida de miles de personas. Si a algunos no les gusta, lo lamento, para qué lo eligieron. Quedan de estúpidos. Pobres herejes. Que Dios los perdone. https://t.co/MKzkmdojS7",Tue Oct 08 23:34:08 +0000 2024,22,292
