Cuenta_Twitter,Usuario,Texto,Creado en,Retweets,Likes
francomoreyraok,FRANKY🦇🩸,yo cuando pierdo algo en el quilombo de mi cuarto https://t.co/OdFtdTYSIA,Mon Oct 07 23:10:53 +0000 2024,2603,14834
chiquimafia__,𝕮𝖍𝖎𝖖𝖚𝖎 𝕸𝖆𝖋𝖎𝖆,vos ponete linda que hoy invito yo https://t.co/tpQP8UVzVR,Mon Oct 07 23:17:00 +0000 2024,5224,51614
danielgoaz,Dan,Un facto. https://t.co/EAXLT8ZwNQ,Mon Oct 07 23:44:44 +0000 2024,635,2513
MissaSinfonia,Missa Sinfonia,"“Perdon profe, no trajimos la cartulina.” https://t.co/9GkW1W3i1O",Sat Oct 05 15:34:12 +0000 2024,7783,93104
DPRIAN_,Christian Yu,"buenas tardes ciudad de méxico
😍 https://t.co/IAPS17KGmU",Mon Oct 07 21:08:17 +0000 2024,10966,61120
peladodelatv,El Pelado Trebucq,"¿Votarías a Javier Milei en el 2027? 👇🏼

1- Si
2- No https://t.co/2zOm8R1cEC",Wed Oct 02 21:48:32 +0000 2024,4289,52700
s44nti,santi,yo cuando ignoran algo que conté con mucha emoción https://t.co/PUYymXsF23,Mon Oct 07 04:52:01 +0000 2024,46628,230080
_JugadorNro12,ℓαυтαяσ,"Eres old, pero así de old? https://t.co/cp2ySca19C",Mon Oct 07 23:13:10 +0000 2024,3451,32462
kari_ok6,que pasa putx,para nada la verdad https://t.co/IzGbYlHtpd,Mon Oct 07 23:52:56 +0000 2024,6297,26778
adn40,adn40,"🐶: Tranquila, humana. No quiero asustarte, solo tengo hambre ☺️ https://t.co/cmiPB6nDRo",Mon Oct 07 02:15:00 +0000 2024,6116,81004
Guarromantico_,El Guarromántico,Cosas extrañas suceden. https://t.co/BrlHfSZdqL,Tue Oct 01 01:35:12 +0000 2024,12407,49711
